base_pair,clone_num,error_rate,correct_num
1075,6,0.00062016,4
898,6,0.00074239,4
250,5,0.0008,4
570,5,0.000105263,4
744,5,0.00033602,5
344,4,0.000218023,2
594,6,0.001683502,0
1141,7,0.0008764,2
1144,7,0.0017953,1
1144,7,0.00062709,2
775,7,0.001511487,4
766,7,0,7
766,7,0.000407498,5
1218,6,0.000615764,2
1357,6,0.00099404,4
1454,3,0.0004585,2
411,6,0,5
442,6,0.00075415,4
442,6,0.00075415,5
442,6,0.0015083,3
798,4,0.00062657,2
864,4,0.000868,1
746,4,0.0010054,2
1076,4,0.00116171,1
1084,4,0.00023063,3
1059,4,0.00094429,2
1012,4,0.00024704,3
1861,6,0.00042988,3
1099,4,0.001364877,1
1054,4,0,4
1069,4,0.001169317,2
967,4,0.00073866,2
1099,4,0.00022748,3
1135,4,0.00088106,1
522,4,0.001277139,1
1270,4,0.0003937,2
1439,4,0.00231642,0
2220,3,0.00105105,1
1401,6,0,1
672,3,0.00148809,1
783,3,0.002128565,0
528,3,0.000189399,2
744,3,0.000448,2
672,3,0.000496,2
691,3,0,3
1203,3,0.002337343,0
707,5,0.0028289,0
540,3,0,3
384,3,0.001736111,2
1066,6,0.00093809,2
1047,3,0,3
1401,6,0,1
562,3,0,2
1607,4,0.00124456,1
547,3,0.000203562,1
655,3,0.00060938,2
547,3,0.00060938,2
547,3,0.000365631,1
1068,3,0.00156055,0
910,3,0.00054945,1
639,3,0.00052165,2
722,3,0,2
736,3,0,3
1858,2,0,2
631,3,0.000528262,2
631,3,0.002377179,0
646,3,0,3
495,3,0.004040404,0
1075,6,0.000620155,4
898,6,0.00074239,4
250,5,0.0008,4
570,5,0.001052632,4
744,5,0.000336022,5
978,3,0.000511247,2
1047,3,0.000286533,2
420,5,0,5
636,3,0.001965405,1
420,5,0.00095,3
353,3,0.001841621,2
633,4,0.002369668,0
711,4,0.001054852,1
978,3,0.00102249,0
984,3,0,3
999,3,0.001001,2
978,3,0.00102249,1
298,3,0.00111857,2
391,3,0.00085251,2
1390,3,0.00047962,1
505,3,0,3
678,3,0,3
516,3,0.00129199,2
930,3,0.00035842,2
